269.06,347.09,0
389.37,237.51,0
377.28,106.98,0
999.901,2760.21,1
2570.8865,2140.52,1
3577.54,8640.62,1
2451.41,3234.68,1
3214.44,2509.17,1
2602.155,3668.54,1
3812.57,3588.38,1
3747.471,1998.48,1
2009.5,2112.03,1
269.06,347.09,0
389.37,237.51,0
377.28,106.98,0
2570.8865,2140.52,1
3577.54,8640.62,1
2009.5,2112.03,1
269.06,347.09,0
389.37,237.51,0
377.28,106.98,0
999.901,2760.21,1
2570.8865,2140.52,1
3577.54,8640.62,1
2009.5,2112.03,1
269.06,347.09,0
389.37,237.51,0
377.28,106.98,0
999.901,2760.21,1
2570.8865,2140.52,1
3577.54,8640.62,1
2451.41,3234.68,1
3214.44,2509.17,1
2602.155,3668.54,1
3812.57,3588.38,1
3747.471,1998.48,1
2009.5,2112.03,1
269.06,347.09,0
389.37,237.51,0
377.28,106.98,0
2570.8865,2140.52,1
3577.54,8640.62,1
2451.41,3234.68,1
3214.44,2509.17,1
2602.155,3668.54,1
3812.57,3588.38,1
3747.471,1998.48,1
2009.5,2112.03,1
269.06,347.09,0
389.37,237.51,0
377.28,106.98,0
3747.471,1998.48,1
2009.5,2112.03,1
269.06,347.09,0
389.37,237.51,0
377.28,106.98,0
269.06,347.09,0
389.37,237.51,0
377.28,106.98,0
2570.8865,2140.52,1
3577.54,8640.62,1
2451.41,3234.68,1
3214.44,2509.17,1
2602.155,3668.54,1
3812.57,3588.38,1
3747.471,1998.48,1
2009.5,2112.03,1
269.06,347.09,0
389.37,237.51,0
377.28,106.98,0
999.901,2760.21,1
2570.8865,2140.52,1
3577.54,8640.62,1
2451.41,3234.68,1
3214.44,2509.17,1
2602.155,3668.54,1
3812.57,3588.38,1
3747.471,1998.48,1
2009.5,2112.03,1
269.06,347.09,0
389.37,237.51,0
377.28,106.98,0
999.901,2760.21,1
2570.8865,2140.52,1
3577.54,8640.62,1
2451.41,3234.68,1
3214.44,2509.17,1
2602.155,3668.54,1
3812.57,3588.38,1
3747.471,1998.48,1
2009.5,2112.03,1
269.06,347.09,0
389.37,237.51,0
377.28,106.98,0
269.06,347.09,0
389.37,237.51,0
377.28,106.98,0
