1103 ,6362 ,247 ,637 ,1 
749 ,2263 ,117 ,416 ,1 
546 ,2501 ,106 ,452 ,1 
718 ,2656 ,3 ,466 ,1 
0 ,842 ,53 ,360 ,0 
117 ,539 ,41 ,154 ,0 
87 ,100 ,37 ,160 ,0 
404 ,715 ,54 ,339 ,1 
1433 ,1388 ,365 ,1324 ,0 
1306 ,888 ,215 ,1092 ,0 
1160 ,418 ,186 ,772 ,0 
4470 ,3749 ,1374 ,2735 ,1 
1387 ,772 ,441 ,1232 ,1 
48 ,393 ,2 ,1214 ,1 
678 ,435 ,116 ,427 ,0 
276 ,246 ,54 ,278 ,0 
907 ,1019 ,303 ,1057 ,1 
1171 ,58 ,101 ,914 ,1 
4377 ,3838 ,1093 ,2802 ,1 
1006 ,552 ,200 ,778 ,0 
1256 ,769 ,307 ,1339 ,1 
1171 ,859 ,100 ,914 ,0 
822 ,628 ,185 ,693 ,0 
827 ,739 ,193 ,831 ,1 
761 ,824 ,230 ,910 ,1 
424 ,369 ,95 ,467 ,1 
829 ,840 ,232 ,1130 ,1
2186.83,208.182,112.737,831.105,0
2533.79,2413.62,1063.14,4188.4,1
2523.72,2528.2,986.98,2577.78,1
4330.7,4604.98,1711.57,3714.49,1
11214.4,448.189,121.9,723.246,1
9708.99,217.705,41.0412,224.264,1
6393.92,302.143,84.6425,711.157,1
9762.79,116.89,23.9269,107.486,1
5773.87,1144.3,137.73,269.172,1
5824.33,4324.77,177.416,416.417,1
4434.93,2022.9,185.838,150.769,1
7541.31,1666.16,152.955,1187.38,1
378.388,247.476,80.1819,364.899,0
1433.17,1387.78,364.884,1324.26,0
1305.87,888.42,214.812,1092.02,0
